#{"t_start": 1777198689.1238875, "env_id": "HalfCheetah-v4"}
r,l,t
2750.075375,1000,987.084743
4362.290619,1000,988.37942
4332.74649,1000,989.591591
4395.437932,1000,990.771755
4093.627648,1000,991.997264
4547.22017,1000,993.337853
4088.573621,1000,994.541518
1470.996562,1000,995.610451
4512.373552,1000,996.858276
4345.756513,1000,998.027137
4230.256904,1000,998.92239
4566.188123,1000,1000.483639
4625.322835,1000,1001.560111
2767.859733,1000,1002.752872
1743.782103,1000,1004.009736
4251.262133,1000,1005.146549
2909.28239,1000,1006.496621
4404.190835,1000,1007.490375
4560.857131,1000,1008.683273
4290.257331,1000,1009.891577
726.160227,1000,1011.247557
4470.813704,1000,1012.383055
1093.975216,1000,1013.508501
4628.457407,1000,1014.629187
4423.986549,1000,1015.855232
4313.481823,1000,1017.078901
2838.409892,1000,1018.412613
3285.184921,1000,1019.527548
4103.3492,1000,1020.750868
3054.486719,1000,1022.082139
4316.00626,1000,1023.2816
3369.101975,1000,1024.53273
4722.790854,1000,1025.691273
1505.35842,1000,1026.875986
4741.110478,1000,1028.0435
2373.883927,1000,1029.257174
4563.686114,1000,1030.392626
4731.284443,1000,1031.595112
4072.122803,1000,1032.738951
3722.637184,1000,1033.905404
4558.811826,1000,1035.042337
2438.57883,1000,1036.201471
4340.577684,1000,1037.807211
4558.721276,1000,1039.212612
2345.486947,1000,1040.417642
4734.42304,1000,1041.771346
4550.065407,1000,1042.891537
4413.51362,1000,1044.108228
4235.881773,1000,1045.368835
3335.541858,1000,1046.573279
3519.558352,1000,1047.816029
4592.975315,1000,1049.042558
3963.266024,1000,1050.175729
4471.85975,1000,1051.459192
2729.43352,1000,1052.490529
4440.10669,1000,1053.637947
1737.495528,1000,1054.991728
4405.127366,1000,1056.493421
4607.537749,1000,1057.778154
4183.488544,1000,1058.941719
4508.966357,1000,1060.046316
4357.217791,1000,1061.270813
2078.617271,1000,1062.680909
4502.906977,1000,1063.906639
547.485288,1000,1065.158623
4382.996037,1000,1066.335483
4685.070027,1000,1067.475925
4494.280748,1000,1068.958139
4482.570453,1000,1070.145577
2564.248305,1000,1071.445974
2589.811227,1000,1072.63555
1751.464271,1000,1073.82002
4521.559473,1000,1074.99245
1819.424378,1000,1076.166291
4724.311875,1000,1077.508934
4465.589003,1000,1078.698776
1514.688066,1000,1079.799821
4574.469715,1000,1080.952992
4467.482728,1000,1082.125788
4724.750157,1000,1083.28332
4774.142763,1000,1084.536511
3625.332108,1000,1085.688527
684.04722,1000,1086.857162
4749.756391,1000,1088.031535
